,index,age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake,lat,long,zipcode,age_upon_outcome,date_of_birth,outcome_datetime,outcome_subtype,outcome_type,sex_upon_outcome,HouseholdIncome
79,85,1 year,A788254,Dog,Labrador Retriever Mix,Chocolate,2019-01-29T11:54:00.000,2019-01-29T11:54:00.000,12110 Trotwood Drive in Austin (TX),Normal,Stray,Coco,Intact Female,30.38862079999999,-97.66475109999999,78753,2 years,2017-01-31T00:00:00.000,2019-02-04T11:13:00.000,Partner,Transfer,Spayed Female,"$38,206.00"
80,88,1 month,A787544,Dog,Chihuahua Shorthair Mix,Tan/White,2019-01-15T12:22:00.000,2019-01-15T12:22:00.000,Loyola And Colony Park in Austin (TX),Normal,Stray,Rala,Intact Female,30.29876,-97.64461999999999,78724,2 months,2018-11-15T00:00:00.000,2019-01-19T17:25:00.000,,Adoption,Spayed Female,"$36,641.00"
81,89,1 year,A787787,Cat,Domestic Shorthair Mix,Brown Tabby/White,2019-01-19T16:31:00.000,2019-01-19T16:31:00.000,Austin (TX),Normal,Owner Surrender,*Oscar,Neutered Male,30.267153,-97.7430608,78702,1 year,2018-01-19T00:00:00.000,2019-02-01T18:16:00.000,,Adoption,Neutered Male,"$23,348.00"
82,90,3 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-01-25T17:24:00.000,2019-01-25T17:24:00.000,1156 W Cesar Chavez St in Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-01-15T00:00:00.000,,Return to Owner,Neutered Male,"$54,591.00"
83,90,3 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-01-25T17:24:00.000,2019-01-25T17:24:00.000,1156 W Cesar Chavez St in Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-02-07T18:19:00.000,,Return to Owner,Neutered Male,"$54,591.00"
84,90,3 years,A774102,Cat,Domestic Shorthair Mix,Black,2019-01-25T17:24:00.000,2019-01-25T17:24:00.000,1156 W Cesar Chavez St in Austin (TX),Normal,Public Assist,Skyler,Neutered Male,30.269764,-97.7591144,78703,3 years,2016-01-11T00:00:00.000,2019-03-01T14:31:00.000,,Return to Owner,Neutered Male,"$54,591.00"
85,91,1 year,A788527,Cat,Domestic Shorthair Mix,Torbie,2019-02-04T10:20:00.000,2019-02-04T10:20:00.000,11500 Trinity Hill Drive in Austin (TX),Normal,Stray,,Intact Female,30.3788093,-97.6710253,78753,1 year,2018-02-04T00:00:00.000,2019-02-08T16:46:00.000,Snr,Transfer,Intact Female,"$38,206.00"
86,92,2 months,A788551,Dog,Labrador Retriever Mix,Black/White,2019-02-04T14:38:00.000,2019-02-04T14:38:00.000,801 East William Cannon Drive in Austin (TX),Normal,Stray,,Intact Female,30.1899495,-97.77305439999999,78745,2 months,2018-12-04T00:00:00.000,2019-02-07T18:24:00.000,Partner,Transfer,Intact Female,"$43,458.00"
87,94,3 years,A789190,Dog,Australian Cattle Dog/Labrador Retriever,Red Tick/White,2019-02-17T11:00:00.000,2019-02-17T11:00:00.000,Rutland Drive And Mearns Meadow Boulevard in Austin (TX),Normal,Stray,*Dublin,Intact Male,30.3669773,-97.7006025,78758,3 years,2016-02-17T00:00:00.000,2019-02-23T12:15:00.000,,Adoption,Neutered Male,"$42,398.00"
88,95,2 years,A787174,Dog,Pointer/Chinese Sharpei,Tan/White,2019-01-08T17:37:00.000,2019-01-08T17:37:00.000,Montopolis And Vargas in Austin (TX),Injured,Stray,*Acadia,Intact Female,30.2315403,-97.6955102,78741,2 years,2017-01-08T00:00:00.000,2019-03-02T14:30:00.000,,Adoption,Spayed Female,"$25,369.00"
